feature,importance
n__delivery_days,0.3127934297820376
n__n_items,0.17309826849165805
n__is_late,0.14998666992606943
n__payment_total,0.14521563989909791
n__items_price_total,0.14100240372771852
n__freight_total,0.08498509076865597
n__max_installments,0.04977170901607806
c__customer_state_infrequent_sklearn,0.04893837188672609
n__purchase_month,0.035598250569780304
c__customer_state_SP,0.03320355879878681
c__customer_state_RS,0.025371499760693278
c__customer_state_SC,0.014775326547527407
c__customer_state_RJ,0.01457423118680759
c__payment_type_primary_credit_card,0.010635182793647644
c__customer_state_PR,0.008498197304269893
c__customer_state_MG,0.008176299949237366
c__payment_type_primary_voucher,0.008054659140447796
c__payment_type_primary_boleto,0.006304812091920042
c__customer_state_ES,0.0062661585757993405
c__customer_state_BA,0.003789974841393492
c__payment_type_primary_infrequent_sklearn,0.0036159850110710945
c__customer_state_DF,0.0026792831551680466
c__customer_state_GO,0.0011756818026204927
